Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,90.250001,-109.650000,180.000000,top
C2,10uF,C_0805_2012Metric,90.250001,-103.450000,180.000000,top
C3,150uF,CP_Elec_6.3x7.7,96.650000,-107.800000,90.000000,top
C4,100nF 1206,C_1206_3216Metric,94.450000,-100.125001,90.000000,top
C5,1uF,C_0402_1005Metric,134.150000,-102.350000,0.000000,top
C6,100nF,C_0402_1005Metric,132.750000,-101.900000,90.000000,top
C7,100nF,C_0402_1005Metric,134.650000,-101.400000,0.000000,top
C8,22uF,C_0805_2012Metric,136.680000,-108.950000,90.000000,top
C9,22uF,C_0805_2012Metric,144.600000,-111.450000,-90.000000,top
C10,22uF,C_0805_2012Metric,142.600000,-111.450000,-90.000000,top
C11,22uF,C_0805_2012Metric,140.600000,-111.450000,-90.000000,top
C12,22uF,C_0805_2012Metric,138.600000,-111.450000,-90.000000,top
C13,10uF,C_0805_2012Metric,133.930000,-108.300000,0.000000,top
C14,10uF,C_0805_2012Metric,133.980000,-110.300000,0.000000,top
C15,10uF,C_0805_2012Metric,133.980000,-112.300000,0.000000,top
C16,10uF,C_0805_2012Metric,101.950001,-111.700000,180.000000,top
C17,10uF,C_0805_2012Metric,101.950001,-105.500000,180.000000,top
C18,150uF,CP_Elec_6.3x7.7,107.200000,-105.700000,90.000000,top
C19,100nF 1206,C_1206_3216Metric,114.450000,-100.125001,90.000000,top
C20,10uF,C_0805_2012Metric,149.450001,-109.600000,180.000000,top
C21,10uF,C_0805_2012Metric,149.450001,-103.400000,180.000000,top
C22,150uF,CP_Elec_6.3x7.7,154.700000,-106.100000,90.000000,top
C23,100nF 1206,C_1206_3216Metric,145.650000,-100.125001,90.000000,top
C24,10uF,C_0805_2012Metric,160.350001,-111.450000,180.000000,top
C25,10uF,C_0805_2012Metric,160.350001,-105.250000,180.000000,top
C26,150uF,CP_Elec_6.3x7.7,167.900000,-107.800000,90.000000,top
C27,100nF 1206,C_1206_3216Metric,165.650000,-100.125000,90.000000,top
C28,10uF,C_0805_2012Metric,133.980000,-128.300000,0.000000,top
C29,10uF,C_0805_2012Metric,133.980000,-126.300000,0.000000,top
C30,10uF,C_0805_2012Metric,133.930000,-124.300000,0.000000,top
C31,100nF,C_0402_1005Metric,132.750000,-117.900000,90.000000,top
C32,100nF,C_0402_1005Metric,134.650000,-117.400000,0.000000,top
C33,1uF,C_0402_1005Metric,134.150000,-118.350000,0.000000,top
C34,22uF,C_0805_2012Metric,138.600000,-127.450000,-90.000000,top
C35,22uF,C_0805_2012Metric,140.600000,-127.450000,-90.000000,top
C36,22uF,C_0805_2012Metric,142.600000,-127.450000,-90.000000,top
C37,22uF,C_0805_2012Metric,144.600000,-127.450000,-90.000000,top
C38,22uF,C_0805_2012Metric,136.680000,-124.950000,90.000000,top
C39,10uF,C_0805_2012Metric,101.950001,-127.700000,180.000000,top
C40,10uF,C_0805_2012Metric,101.950001,-121.500000,180.000000,top
C41,150uF,CP_Elec_6.3x7.7,107.200000,-121.700000,90.000000,top
C42,100nF 1206,C_1206_3216Metric,114.450000,-116.125001,90.000000,top
C43,10uF,C_0805_2012Metric,90.250001,-125.650000,180.000000,top
C44,10uF,C_0805_2012Metric,90.250001,-119.450000,180.000000,top
C45,150uF,CP_Elec_6.3x7.7,96.650000,-123.800000,90.000000,top
C46,100nF 1206,C_1206_3216Metric,94.450000,-116.125001,90.000000,top
C47,10uF,C_0805_2012Metric,149.450001,-125.600000,180.000000,top
C48,10uF,C_0805_2012Metric,149.450001,-119.400000,180.000000,top
C49,150uF,CP_Elec_6.3x7.7,154.700000,-122.100000,90.000000,top
C50,100nF 1206,C_1206_3216Metric,145.650000,-116.125001,90.000000,top
C51,10uF,C_0805_2012Metric,160.350001,-127.450000,180.000000,top
C52,10uF,C_0805_2012Metric,160.350001,-121.250000,180.000000,top
C53,150uF,CP_Elec_6.3x7.7,167.900000,-123.800000,90.000000,top
C54,100nF 1206,C_1206_3216Metric,165.650000,-116.125000,90.000000,top
C55,10uF,C_0805_2012Metric,133.980000,-144.300000,0.000000,top
C56,10uF,C_0805_2012Metric,133.980000,-142.300000,0.000000,top
C57,10uF,C_0805_2012Metric,133.930000,-140.300000,0.000000,top
C58,100nF,C_0402_1005Metric,132.750000,-133.900000,90.000000,top
C59,100nF,C_0402_1005Metric,134.650000,-133.400000,0.000000,top
C60,1uF,C_0402_1005Metric,134.150000,-134.350000,0.000000,top
C61,22uF,C_0805_2012Metric,138.600000,-143.450000,-90.000000,top
C62,22uF,C_0805_2012Metric,140.600000,-143.450000,-90.000000,top
C63,22uF,C_0805_2012Metric,142.600000,-143.450000,-90.000000,top
C64,22uF,C_0805_2012Metric,144.600000,-143.450000,-90.000000,top
C65,22uF,C_0805_2012Metric,136.680000,-140.950000,90.000000,top
C66,10uF,C_0805_2012Metric,101.950001,-143.700000,180.000000,top
C67,10uF,C_0805_2012Metric,101.950001,-137.500000,180.000000,top
C68,150uF,CP_Elec_6.3x7.7,107.200000,-137.700000,90.000000,top
C69,100nF 1206,C_1206_3216Metric,114.450000,-132.125001,90.000000,top
C70,10uF,C_0805_2012Metric,160.350001,-143.450000,180.000000,top
C71,10uF,C_0805_2012Metric,160.350001,-137.250000,180.000000,top
C72,150uF,CP_Elec_6.3x7.7,167.900000,-139.800000,90.000000,top
C73,100nF 1206,C_1206_3216Metric,165.650000,-132.125000,90.000000,top
C74,10uF,C_0805_2012Metric,149.450001,-141.600000,180.000000,top
C75,10uF,C_0805_2012Metric,149.450001,-135.400000,180.000000,top
C76,150uF,CP_Elec_6.3x7.7,154.700000,-138.100000,90.000000,top
C77,100nF 1206,C_1206_3216Metric,145.650000,-132.125001,90.000000,top
C78,10uF,C_0805_2012Metric,90.250001,-141.650000,180.000000,top
C79,10uF,C_0805_2012Metric,90.250001,-135.450000,180.000000,top
C80,150uF,CP_Elec_6.3x7.7,96.650000,-139.800000,90.000000,top
C81,100nF 1206,C_1206_3216Metric,94.450000,-132.125001,90.000000,top
C82,10uF,C_0805_2012Metric,133.980000,-160.300000,0.000000,top
C83,10uF,C_0805_2012Metric,133.980000,-158.300000,0.000000,top
C84,10uF,C_0805_2012Metric,133.930000,-156.300000,0.000000,top
C85,100nF,C_0402_1005Metric,132.750000,-149.900000,90.000000,top
C86,100nF,C_0402_1005Metric,134.650000,-149.400000,0.000000,top
C87,1uF,C_0402_1005Metric,134.150000,-150.350000,0.000000,top
C88,22uF,C_0805_2012Metric,138.600000,-159.450000,-90.000000,top
